epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
81,210435,0.07418,0.17043,0.12542,0.99543,0.99478,0.99426,0.98343,0.03949,0.10843,0.10325,1.04e-05,1.04e-05,1.04e-05
82,213056,0.07354,0.16897,0.1245,0.99564,0.99482,0.99426,0.98353,0.03946,0.10775,0.10322,9.905e-06,9.905e-06,9.905e-06
83,215700,0.07314,0.16955,0.12419,0.99563,0.99481,0.99427,0.98359,0.03934,0.10762,0.10293,9.41e-06,9.41e-06,9.41e-06
84,218328,0.07375,0.16911,0.12402,0.99589,0.99454,0.99427,0.98364,0.03915,0.10856,0.10234,8.915e-06,8.915e-06,8.915e-06
85,220956,0.07295,0.16885,0.12385,0.99565,0.99482,0.99426,0.98375,0.03925,0.10752,0.10281,8.42e-06,8.42e-06,8.42e-06
86,223577,0.07259,0.16775,0.1224,0.99533,0.99486,0.99426,0.98363,0.03925,0.10789,0.10289,7.925e-06,7.925e-06,7.925e-06
87,226197,0.07225,0.16721,0.12252,0.99582,0.99476,0.99427,0.98367,0.03928,0.1069,0.10301,7.43e-06,7.43e-06,7.43e-06
88,228828,0.07236,0.16675,0.12192,0.99587,0.99468,0.99427,0.98372,0.03897,0.10804,0.10203,6.935e-06,6.935e-06,6.935e-06
89,231452,0.07234,0.16718,0.1227,0.99515,0.99441,0.99427,0.98375,0.03918,0.10689,0.10295,6.44e-06,6.44e-06,6.44e-06
90,234080,0.07159,0.16522,0.12127,0.99516,0.99438,0.99428,0.98364,0.03913,0.10676,0.10284,5.945e-06,5.945e-06,5.945e-06
91,236713,0.02744,0.07146,0.06537,0.99504,0.99437,0.99428,0.98362,0.039,0.10652,0.1026,5.45e-06,5.45e-06,5.45e-06
92,239348,0.02654,0.06812,0.06286,0.99486,0.99436,0.99429,0.98365,0.03898,0.1057,0.10248,4.955e-06,4.955e-06,4.955e-06
93,241982,0.02617,0.06778,0.06227,0.99464,0.99436,0.9943,0.98365,0.03885,0.10548,0.1021,4.46e-06,4.46e-06,4.46e-06
94,244606,0.02589,0.06693,0.0615,0.99452,0.99437,0.99433,0.98369,0.03871,0.10514,0.10165,3.965e-06,3.965e-06,3.965e-06
95,247243,0.02586,0.06567,0.06113,0.99428,0.99444,0.99434,0.98377,0.03842,0.1052,0.10119,3.47e-06,3.47e-06,3.47e-06
96,249871,0.02542,0.06564,0.06024,0.99415,0.99435,0.99442,0.98399,0.03826,0.10467,0.10076,2.975e-06,2.975e-06,2.975e-06
97,252499,0.02539,0.06588,0.06043,0.99425,0.99442,0.99441,0.984,0.0381,0.10459,0.10032,2.48e-06,2.48e-06,2.48e-06
98,255128,0.02509,0.06545,0.0596,0.99417,0.99444,0.99442,0.984,0.03803,0.10435,0.1001,1.985e-06,1.985e-06,1.985e-06
99,257759,0.02478,0.06464,0.05849,0.99397,0.9945,0.99445,0.9841,0.0379,0.10375,0.09975,1.49e-06,1.49e-06,1.49e-06
100,260394,0.02511,0.06417,0.05952,0.9939,0.99452,0.99444,0.98432,0.03781,0.1039,0.09956,9.95e-07,9.95e-07,9.95e-07
